Datetime,Inova Sup RHT - 337457Val1,Inova Sup RHT - 337457Val2,Inova Sup RHT - 337457Val3,Inova Sup RHT - 337457Val4,Inova Sup RHT - 337457Val5,Inova Sup RHT - 337457Val6
2021-09-26 00:00:00,66.21,17.05,10.7,56.4,16.5,-999.0
2021-09-26 00:01:00,66.21,17.05,10.7,56.4,16.5,-999.0
2021-09-26 00:02:00,66.21,17.05,10.7,56.4,16.5,-999.0
2021-09-26 00:03:00,66.21,17.05,10.7,56.4,16.5,-999.0
2021-09-26 00:04:00,66.21,17.03,10.7,56.3,16.5,-999.0
2021-09-26 00:05:00,66.21,17.03,10.7,56.3,16.5,-999.0
2021-09-26 00:06:00,66.21,17.03,10.7,56.3,16.5,-999.0
2021-09-26 00:07:00,66.21,17.03,10.7,56.3,16.5,-999.0
2021-09-26 00:08:00,66.21,17.03,10.7,56.3,16.5,-999.0
2021-09-26 00:09:00,66.21,17.02,10.7,56.3,16.5,-999.0
2021-09-26 00:10:00,66.21,17.03,10.7,56.3,16.5,-999.0
2021-09-26 00:11:00,66.21,17.02,10.7,56.3,16.5,-999.0
2021-09-26 00:12:00,66.21,17.02,10.7,56.3,16.5,-999.0
2021-09-26 00:13:00,66.21,17.02,10.7,56.3,16.5,-999.0
2021-09-26 00:14:00,66.24,17.02,10.7,56.3,16.5,-999.0
2021-09-26 00:15:00,66.24,17.02,10.7,56.3,16.5,-999.0
2021-09-26 00:16:00,66.24,17.02,10.7,56.3,16.5,-999.0
2021-09-26 00:17:00,66.24,17.02,10.7,56.3,16.5,-999.0
2021-09-26 00:18:00,66.24,17.02,10.7,56.3,16.5,-999.0
2021-09-26 00:19:00,66.24,17.01,10.7,56.3,16.5,-999.0
2021-09-26 00:20:00,66.24,17.01,10.7,56.3,16.5,-999.0
2021-09-26 00:21:00,66.24,17.01,10.7,56.3,16.5,-999.0
2021-09-26 00:22:00,66.24,17.01,10.7,56.3,16.5,-999.0
2021-09-26 00:23:00,66.24,17.0,10.7,56.2,16.5,-999.0
2021-09-26 00:24:00,66.24,17.0,10.7,56.2,16.5,-999.0
2021-09-26 00:25:00,66.24,17.0,10.7,56.2,16.5,-999.0
2021-09-26 00:26:00,66.24,17.0,10.7,56.2,16.5,-999.0
2021-09-26 00:27:00,66.24,17.0,10.7,56.2,16.5,13.0
2021-09-26 00:28:00,66.24,17.0,10.7,56.2,16.5,13.0
2021-09-26 00:29:00,66.27,16.99,10.7,56.2,16.5,13.0
2021-09-26 00:30:00,66.27,16.99,10.7,56.2,16.5,13.0
2021-09-26 00:31:00,66.27,16.99,10.7,56.2,16.5,13.0
2021-09-26 00:32:00,66.27,16.99,10.7,56.2,16.5,-999.0
2021-09-26 00:33:00,66.27,16.99,10.7,56.2,16.5,-999.0
2021-09-26 00:34:00,66.27,16.99,10.7,56.2,16.5,-999.0
2021-09-26 00:35:00,66.27,16.99,10.7,56.2,16.5,-999.0
2021-09-26 00:36:00,66.27,16.98,10.7,56.2,16.5,-999.0
2021-09-26 00:37:00,66.27,16.99,10.7,56.2,16.5,-999.0
2021-09-26 00:38:00,66.27,16.99,10.7,56.2,16.5,-999.0
2021-09-26 00:39:00,66.27,16.98,10.7,56.2,16.5,-999.0
2021-09-26 00:40:00,66.27,16.98,10.7,56.2,16.5,-999.0
2021-09-26 00:41:00,66.27,16.98,10.7,56.2,16.5,-999.0
2021-09-26 00:42:00,66.27,16.97,10.6,56.2,16.5,13.0
2021-09-26 00:43:00,66.27,16.97,10.6,56.2,16.5,13.0
2021-09-26 00:44:00,66.29,16.97,10.6,56.2,16.5,13.0
2021-09-26 00:45:00,66.29,16.97,10.6,56.2,16.5,13.0
2021-09-26 00:46:00,66.29,16.97,10.6,56.2,16.5,13.0
2021-09-26 00:47:00,66.29,16.96,10.6,56.1,16.4,-999.0
2021-09-26 00:48:00,66.29,16.96,10.6,56.1,16.4,-999.0
2021-09-26 00:49:00,66.29,16.96,10.6,56.1,16.4,-999.0
2021-09-26 00:50:00,66.29,16.96,10.6,56.1,16.4,-999.0
2021-09-26 00:51:00,66.29,16.96,10.6,56.1,16.4,-999.0
2021-09-26 00:52:00,66.29,16.96,10.6,56.1,16.4,-999.0
2021-09-26 00:53:00,66.29,16.95,10.6,56.1,16.4,-999.0
2021-09-26 00:54:00,66.29,16.96,10.6,56.1,16.4,-999.0
2021-09-26 00:55:00,66.29,16.95,10.6,56.1,16.4,-999.0
2021-09-26 00:56:00,66.29,16.95,10.6,56.1,16.4,-999.0
2021-09-26 00:57:00,66.29,16.95,10.6,56.1,16.4,-999.0
2021-09-26 00:58:00,66.29,16.95,10.6,56.1,16.4,-999.0
2021-09-26 00:59:00,66.29,16.95,10.6,56.1,16.4,-999.0
2021-09-26 01:00:00,66.29,16.95,10.6,56.1,16.4,-999.0
2021-09-26 01:01:00,66.32,16.94,10.6,56.1,16.4,-999.0
2021-09-26 01:02:00,66.32,16.94,10.6,56.1,16.4,-999.0
